run_name,test_roc_auc,cv_roc_auc,accuracy,precision,recall,f1,model_type,cv_folds
xgboost,0.9241071428571428,,0.85,0.88,0.7857142857142857,0.8301886792452831,XGBoost,0
random_forest,0.9347098214285714,,0.8333333333333334,0.875,0.75,0.8076923076923077,RandomForest,0
logistic_regression,0.9397321428571429,,0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,LogisticRegression,0
xgboost,0.9252232142857143,0.8913732933732934,0.85,0.88,0.7857142857142857,0.8301886792452831,XGBoost,5
random_forest,0.9464285714285714,0.8865381285381286,0.8333333333333334,0.875,0.75,0.8076923076923077,RandomForest,5
logistic_regression,0.9397321428571429,0.8905374625374627,0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,LogisticRegression,5
xgboost,0.9241071428571428,,0.85,0.88,0.7857142857142857,0.8301886792452831,XGBoost,0
random_forest,0.9347098214285714,,0.8333333333333334,0.875,0.75,0.8076923076923077,RandomForest,0
logistic_regression,0.9397321428571429,,0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,LogisticRegression,0
xgboost,0.890625,,0.85,0.88,0.7857142857142857,0.8301886792452831,XGBoost,
random_forest,0.9341517857142857,,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,RandomForest,
logistic_regression,0.953125,,0.85,0.88,0.7857142857142857,0.8301886792452831,LogisticRegression,
